Indianapolis Colts,New England Patriots,0,5,0,0.999906361058626
New York Giants,Carolina Panthers,0,5,0,0.999906361058626
Jacksonville Jaguars,Kansas City Chiefs,0,5,0,0.9938487639404527
Tennessee Titans,Buffalo Bills,3,2,0.7276738169656228,0.6347492720687269
Denver Broncos,New York Jets,0,5,0,0.9912274902826355
Green Bay Packers,Detroit Lions,0,5,0,0.9347489129746164
Baltimore Ravens,Cleveland Browns,2,3,0.6879013836823163,0.6347492720687269
Atlanta Falcons,Pittsburgh Steelers,0,5,0,0.9928255212612707
Miami Dolphins,Cincinnati Bengals,0,5,0,0.999906361058626
Oakland Raiders,Los Angeles Chargers,0,5,0,0.9931609217345435
Los Angeles Rams,Seattle Seahawks,5,0,0.978867580345381,0
Arizona Cardinals,San Francisco 49ers,2,3,0.9828682766133042,0.5963571437141825
Minnesota Vikings,Philadelphia Eagles,4,1,0.9828682766133042,0.5797085709471412
Houston Texans,Dallas Cowboys,2,3,0.978867580345381,0.5965142561600675
Washington Redskins,New Orleans Saints,0,5,0,0.9938487639404527
